commentid;userid;postid;content
1;1;1;Great post! Really enjoyed it.
2;2;1;Interesting perspective. Thanks for sharing!
3;3;2;This is very informative.
4;4;2;Nice read! Keep up the good work.
5;5;3;I totally agree with you.
6;6;3;Well written and insightful.
7;7;4;I learned something new today.
8;8;4;Thanks for the detailed explanation.
9;9;5;This was very helpful, thank you!
10;10;5;I appreciate your effort in writing this.
11;1;6;Couldnt agree more!
12;2;6;Fantastic post!
13;3;7;Very well articulated.
14;4;7;Thanks for sharing your thoughts.
15;5;8;This is a game changer.
16;6;8;I found this very useful.
17;7;9;Excellent post!
18;8;9;Very insightful, thank you.
19;9;10;Great explanation.
20;10;10;Thanks for breaking this down.
21;1;11;I never thought of it that way.
22;2;11;Great read!
23;3;12;You made some great points.
24;4;12;Thanks for the info.
25;5;13;I\ll definitely share this.
26;6;13;Very clear and concise.
27;7;14;Keep up the great work!
28;8;14;I agree with your points.
29;9;15;This is exactly what I was looking for.
30;10;15;Well explained.
31;1;16;I couldnt agree more.
32;2;16;This was eye-opening.
33;3;17;Thanks for the great content.
34;4;17;I learned a lot from this.
35;5;18;Very helpful post.
36;6;18;I appreciate your insights.
37;7;19;This was very informative.
38;8;19;Thanks for sharing this.
39;9;20;I found this very helpful.
40;10;20;Great job!
41;1;21;This is a must-read.
42;2;21;Well done!
43;3;22;Very good explanation.
44;4;22;Thanks for the detailed post.
45;5;23;I appreciate the info.
46;6;23;Very well written.
47;7;24;This was very insightful.
48;8;24;Great points made here.
49;9;25;I totally agree with this.
50;10;25;Thanks for the clarity.
